lemma,present_phones,past_phones
give,G IH V,G EY V
prove,P R UW V,P R UW V D
supply,S AH P L AY,S AH P L AY D
unite,Y UW N AY T,Y UW N AY T IH D
change,CH EY N JH,CH EY N JH D
complete,K AH M P L IY T,K AH M P L IY T AH D
doe,D OW,D IH D
limit,L IH M AH T,L IH M AH T AH D
doe,D OW,D IH D
feel,F IY L,F EH L T
guide,G AY D,G AY D AH D
develop,D IH V EH L AH P,D IH V EH L AH P T
it,IH T,IH T
go,G OW,W EH N T
shake,SH EY K,SH UH K
it,IH T,IH T
absorb,AH B Z AO R B,AH B Z AO R B D
have,HH AE V,HH AE D
leave,L IY V,L EH F T
mature,M AH CH UH R,M AH T Y UH R D
have,HH AE V,HH AE D
supply,S AH P L AY,S AH P L AY D
incline,IH N K L AY N,IH N K L AY N D
it,IH T,IH T
have,HH AE V,HH AE D
separate,S EH P ER EY T,S EH P ER EY T IH D
it,IH T,IH T
give,G IH V,G EY V
it,IH T,IH T
provide,P R AH V AY D,P R AH V AY D IH D
perplex,P ER P L EH K S,P ER P L EH K S T
let,L EH T,L EH T
it,IH T,IH T
declare,D IH K L EH R,D IH K L EH R D
lay,L EY,L EY D
cease,S IY S,S IY S T
come,K AH M,K EY M
it,IH T,IH T
lean,L IY N,L IY N D
let,L EH T,L EH T
spread,S P R EH D,S P R EH D
describe,D IH S K R AY B,D IH S K R AY B D
put,P UH T,P UH T
innovate,IH N AH V EY T,IH N AH V EY T IH D
give,G IH V,G EY V
it,IH T,IH T
have,HH AE V,HH AE D
doe,D OW,D IH D
make,M EY K,M EY D
have,HH AE V,HH AE D
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
separate,S EH P ER EY T,S EH P ER EY T IH D
comment,K AA M EH N T,K AA M EH N T AH D
cry,K R AY,K R AY D
study,S T AH D IY,S T AH D IY D
call,K AO L,K AO L D
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
it,IH T,IH T
occur,AH K ER,AH K ER D
develop,D IH V EH L AH P,D IH V EH L AH P T
advance,AH D V AE N S,AH D V AE N S T
let,L EH T,L EH T
swallow,S W AA L OW,S W AA L OW D
occupy,AA K Y AH P AY,AA K Y AH P AY D
mind,M AY N D,M AY N D AH D
it,IH T,IH T
desire,D IH Z AY ER,D IH Z AY ER D
trace,T R EY S,T R EY S T
it,IH T,IH T
consist,K AH N S IH S T,K AH N S IH S T AH D
make,M EY K,M EY D
occur,AH K ER,AH K ER D
unite,Y UW N AY T,Y UW N AY T IH D
say,S EY,S EH D
read,R EH D,R EH D
use,Y UW S,Y UW Z D
use,Y UW S,Y UW Z D
show,SH OW,SH OW D
impose,IH M P OW Z,IH M P OW Z D
read,R EH D,R EH D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
compel,K AH M P EH L,K AH M P EH L D
call,K AO L,K AO L D
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
make,M EY K,M EY D
make,M EY K,M EY D
open,OW P AH N,OW P AH N D
ask,AE S K,AE S K T
unite,Y UW N AY T,Y UW N AY T IH D
bite,B AY T,B IH T
begin,B IH G IH N,B IH G AE N
come,K AH M,K EY M
trail,T R EY L,T R EY L D
it,IH T,IH T
become,B IH K AH M,B IH K EY M
have,HH AE V,HH AE D
it,IH T,IH T
stress,S T R EH S,S T R EH S T
dispatch,D IH S P AE CH,D IH S P AE CH T
say,S EY,S EH D
have,HH AE V,HH AE D
employ,EH M P L OY,EH M P L OY D
journey,JH ER N IY,JH ER N IY D
have,HH AE V,HH AE D
submit,S AH B M IH T,S AH B M IH T IH D
dress,D R EH S,D R EH S T
surprise,S ER P R AY Z,S ER P R AY Z D
use,Y UW S,Y UW Z D
have,HH AE V,HH AE D
it,IH T,IH T
say,S EY,S EH D
compose,K AH M P OW Z,K AH M P OW Z D
have,HH AE V,HH AE D
it,IH T,IH T
doe,D OW,D IH D
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
project,P R AA JH EH K T,P R AH JH EH K T AH D
it,IH T,IH T
it,IH T,IH T
suit,S UW T,S UW T IH D
charge,CH AA R JH,CH AA R JH D
de,D IY,D IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
record,R AH K AO R D,R AH K AO R D IH D
cum,K AH M,K EY M
match,M AE CH,M AE CH T
come,K AH M,K EY M
it,IH T,IH T
upset,AH P S EH T,AH P S EH T
meet,M IY T,M EH T
conclude,K AH N K L UW D,K AH N K L UW D AH D
make,M EY K,M EY D
it,IH T,IH T
occur,AH K ER,AH K ER D
it,IH T,IH T
hear,HH IY R,HH ER D
make,M EY K,M EY D
have,HH AE V,HH AE D
snatch,S N AE CH,S N AE CH T
ask,AE S K,AE S K T
it,IH T,IH T
think,TH IH NG K,TH AO T
cum,K AH M,K EY M
cure,K Y UH R,K Y UH R D
lay,L EY,L EY D
recover,R IH K AH V ER,R AH K AH V ER D
observe,AH B Z ER V,AH B Z ER V D
it,IH T,IH T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
write,R AY T,R OW T
grow,G R OW,G R UW
it,IH T,IH T
apply,AH P L AY,AH P L AY D
cum,K AH M,K EY M
state,S T EY T,S T EY T IH D
replicate,R EH P L AH K EY T,R EH P L IH K EY T IH D
have,HH AE V,HH AE D
hear,HH IY R,HH ER D
require,R IY K W AY ER,R IY K W AY ER D
impose,IH M P OW Z,IH M P OW Z D
plead,P L IY D,P L IY D IH D
define,D IH F AY N,D IH F AY N D
it,IH T,IH T
dispose,D IH S P OW Z,D IH S P OW Z D
devote,D IH V OW T,D IH V OW T IH D
chop,CH AA P,CH AA P T
shout,SH AW T,SH AW T IH D
it,IH T,IH T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
have,HH AE V,HH AE D
cum,K AH M,K EY M
it,IH T,IH T
have,HH AE V,HH AE D
drive,D R AY V,D R OW V
muffle,M AH F AH L,M AH F AH L D
couple,K AH P AH L,K AH P AH L D
have,HH AE V,HH AE D
read,R EH D,R EH D
invite,IH N V AY T,IH N V AY T AH D
have,HH AE V,HH AE D
animate,AE N AH M AH T,AE N AH M EY T IH D
point,P OY N T,P OY N T IH D
it,IH T,IH T
hurl,HH ER L,HH ER L D
it,IH T,IH T
use,Y UW S,Y UW Z D
it,IH T,IH T
tire,T AY ER,T AY ER D
de,D IY,D IH D
it,IH T,IH T
corroborate,K ER AA B ER EY T,K ER AA B ER EY T IH D
say,S EY,S EH D
show,SH OW,SH OW D
help,HH EH L P,HH EH L P T
create,K R IY EY T,K R IY EY T AH D
it,IH T,IH T
have,HH AE V,HH AE D
provide,P R AH V AY D,P R AH V AY D IH D
have,HH AE V,HH AE D
make,M EY K,M EY D
make,M EY K,M EY D
it,IH T,IH T
doe,D OW,D IH D
put,P UH T,P UH T
it,IH T,IH T
expose,IH K S P OW Z,IH K S P OW Z D
appraise,AH P R EY Z,AH P R EY Z D
it,IH T,IH T
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
send,S EH N D,S EH N T
summarize,S AH M ER AY Z,S AH M ER AY Z D
it,IH T,IH T
baptize,B AE P T AY Z,B AE P T AY Z D
dress,D R EH S,D R EH S T
require,R IY K W AY ER,R IY K W AY ER D
it,IH T,IH T
code,K OW D,K OW D IH D
separate,S EH P ER EY T,S EH P ER EY T IH D
think,TH IH NG K,TH AO T
it,IH T,IH T
hope,HH OW P,HH OW P T
practise,P R AE K T IH S,P R AE K T IH S T
store,S T AO R,S T AO R D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
pour,P AO R,P AO R D
evaluate,IH V AE L Y UW EY T,IH V AE L Y UW EY T AH D
live,L AY V,L IH V D
have,HH AE V,HH AE D
it,IH T,IH T
swim,S W IH M,S W AE M
doe,D OW,D IH D
de,D IY,D IH D
point,P OY N T,P OY N T IH D
it,IH T,IH T
convict,K AA N V IH K T,K AH N V IH K T AH D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
it,IH T,IH T
damage,D AE M AH JH,D AE M AH JH D
avoid,AH V OY D,AH V OY D IH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
give,G IH V,G EY V
teach,T IY CH,T AO T
say,S EY,S EH D
it,IH T,IH T
give,G IH V,G EY V
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
catch,K AE CH,K AA T
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
outset,AW T S EH T,AW T S EH T
agree,AH G R IY,AH G R IY D
it,IH T,IH T
smile,S M AY L,S M AY L D
isolate,AY S AH L EY T,AY S AH L EY T AH D
set,S EH T,S EH T
coole,K UW L,K UW L D
it,IH T,IH T
feel,F IY L,F EH L T
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
have,HH AE V,HH AE D
teach,T IY CH,T AO T
recognise,R EH K AH G N AY Z,R EH K AH G N AY Z D
admire,AE D M AY R,AH D M AY ER D
come,K AH M,K EY M
possess,P AH Z EH S,P AH Z EH S T
deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
tuft,T AH F T,T AH F T IH D
receive,R AH S IY V,R AH S IY V D
banish,B AE N IH SH,B AE N IH SH T
speak,S P IY K,S P OW K
tune,T UW N,T UW N D
leave,L IY V,L EH F T
sigh,S AY,S AY D
it,IH T,IH T
employ,EH M P L OY,EH M P L OY D
release,R IY L IY S,R IY L IY S T
have,HH AE V,HH AE D
bolt,B OW L T,B OW L T AH D
become,B IH K AH M,B IH K EY M
discourage,D IH S K ER IH JH,D IH S K ER AH JH D
describe,D IH S K R AY B,D IH S K R AY B D
call,K AO L,K AO L D
de,D IY,D IH D
put,P UH T,P UH T
say,S EY,S EH D
it,IH T,IH T
assume,AH S UW M,AH S UW M D
come,K AH M,K EY M
have,HH AE V,HH AE D
have,HH AE V,HH AE D
it,IH T,IH T
join,JH OY N,JH OY N D
wipe,W AY P,W AY P T
force,F AO R S,F AO R S T
earmark,IH R M AA R K,IH R M AA R K T
cost,K AA S T,K AA S T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
it,IH T,IH T
it,IH T,IH T
write,R AY T,R OW T
recover,R IH K AH V ER,R AH K AH V ER D
de,D IY,D IH D
refer,R AH F ER,R AH F ER D
go,G OW,W EH N T
wad,W AA D,W AA D IH D
oppress,AH P R EH S,AH P R EH S T
it,IH T,IH T
schedule,S K EH JH UH L,S K EH JH UH L D
it,IH T,IH T
pour,P AO R,P AO R D
doe,D OW,D IH D
desire,D IH Z AY ER,D IH Z AY ER D
become,B IH K AH M,B IH K EY M
issue,IH SH UW,IH SH UW D
visit,V IH Z IH T,V IH Z IH T IH D
it,IH T,IH T
specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
join,JH OY N,JH OY N D
get,G EH T,G AA T
superimpose,S UW P ER AH M P OW Z,S UW P ER AH M P OW Z D
put,P UH T,P UH T
boil,B OY L,B OY L D
think,TH IH NG K,TH AO T
study,S T AH D IY,S T AH D IY D
force,F AO R S,F AO R S T
develop,D IH V EH L AH P,D IH V EH L AH P T
have,HH AE V,HH AE D
it,IH T,IH T
bring,B R IH NG,B R AO T
oblige,AH B L AY JH,AH B L AY JH D
chuckle,CH AH K AH L,CH AH K AH L D
make,M EY K,M EY D
de,D IY,D IH D
reduce,R AH D UW S,R AH D UW S T
come,K AH M,K EY M
hurt,HH ER T,HH ER T
think,TH IH NG K,TH AO T
observe,AH B Z ER V,AH B Z ER V D
have,HH AE V,HH AE D
exercise,EH K S ER S AY Z,EH K S ER S AY Z D
doe,D OW,D IH D
de,D IY,D IH D
nod,N AA D,N AA D AH D
it,IH T,IH T
make,M EY K,M EY D
remain,R IH M EY N,R IH M EY N D
marry,M EH R IY,M EH R IY D
answer,AE N S ER,AE N S ER D
require,R IY K W AY ER,R IY K W AY ER D
derive,D ER AY V,D ER AY V D
sell,S EH L,S OW L D
become,B IH K AH M,B IH K EY M
doe,D OW,D IH D
expose,IH K S P OW Z,IH K S P OW Z D
unite,Y UW N AY T,Y UW N AY T IH D
rag,R AE G,R AE G AH D
overlook,OW V ER L UH K,OW V ER L UH K T
go,G OW,W EH N T
face,F EY S,F EY S T
think,TH IH NG K,TH AO T
go,G OW,W EH N T
roar,R AO R,R AO R D
de,D IY,D IH D
set,S EH T,S EH T
it,IH T,IH T
allege,AH L EH JH,AH L EH JH D
use,Y UW S,Y UW Z D
it,IH T,IH T
make,M EY K,M EY D
think,TH IH NG K,TH AO T
let,L EH T,L EH T
marry,M EH R IY,M EH R IY D
give,G IH V,G EY V
stretch,S T R EH CH,S T R EH CH T
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
it,IH T,IH T
define,D IH F AY N,D IH F AY N D
relate,R IH L EY T,R IH L EY T IH D
handicap,HH AE N D IY K AE P,HH AE N D IY K AE P T
reiterate,R IY IH T ER EY T,R IY IH T ER EY T IH D
live,L AY V,L IH V D
it,IH T,IH T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
give,G IH V,G EY V
have,HH AE V,HH AE D
catch,K AE CH,K AA T
it,IH T,IH T
return,R IH T ER N,R IH T ER N D
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
make,M EY K,M EY D
shriek,SH R IY K,SH R IY K T
base,B EY S,B EY S T
marry,M EH R IY,M EH R IY D
doe,D OW,D IH D
make,M EY K,M EY D
it,IH T,IH T
come,K AH M,K EY M
baptize,B AE P T AY Z,B AE P T AY Z D
have,HH AE V,HH AE D
manifest,M AE N AH F EH S T,M AE N AH F EH S T AH D
advance,AH D V AE N S,AH D V AE N S T
have,HH AE V,HH AE D
it,IH T,IH T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
marry,M EH R IY,M EH R IY D
it,IH T,IH T
wear,W EH R,W AO R
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
bring,B R IH NG,B R AO T
let,L EH T,L EH T
doe,D OW,D IH D
doe,D OW,D IH D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
doe,D OW,D IH D
certify,S ER T AH F AY,S ER T AH F AY D
isolate,AY S AH L EY T,AY S AH L EY T AH D
it,IH T,IH T
say,S EY,S EH D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
de,D IY,D IH D
pay,P EY,P EY D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
reduce,R AH D UW S,R AH D UW S T
let,L EH T,L EH T
it,IH T,IH T
twist,T W IH S T,T W IH S T IH D
signify,S IH G N AH F AY,S IH G N AH F AY D
have,HH AE V,HH AE D
distress,D IH S T R EH S,D IH S T R EH S T
it,IH T,IH T
it,IH T,IH T
spread,S P R EH D,S P R EH D
shoot,SH UW T,SH AA T
teach,T IY CH,T AO T
de,D IY,D IH D
smile,S M AY L,S M AY L D
nod,N AA D,N AA D AH D
propose,P R AH P OW Z,P R AH P OW Z D
say,S EY,S EH D
amend,AH M EH N D,AH M EH N D IH D
have,HH AE V,HH AE D
buy,B AY,B AA T
remain,R IH M EY N,R IH M EY N D
have,HH AE V,HH AE D
decompose,D IY K AH M P OW Z,D IY K AH M P OW Z D
label,L EY B AH L,L EY B AH L D
violate,V AY AH L EY T,V AY AH L EY T IH D
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
have,HH AE V,HH AE D
make,M EY K,M EY D
become,B IH K AH M,B IH K EY M
shake,SH EY K,SH UH K
produce,P R AH D UW S,P R AH D UW S T
have,HH AE V,HH AE D
batter,B AE T ER,B AE T ER D
point,P OY N T,P OY N T IH D
it,IH T,IH T
mill,M IH L,M IH L D
receive,R AH S IY V,R AH S IY V D
doze,D OW Z,D OW Z D
stop,S T AA P,S T AA P T
unite,Y UW N AY T,Y UW N AY T IH D
invite,IH N V AY T,IH N V AY T AH D
split,S P L IH T,S P L IH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
fall,F AO L,F EH L
make,M EY K,M EY D
doe,D OW,D IH D
bend,B EH N D,B EH N T
converse,K AA N V ER S,K AH N V ER S T
feel,F IY L,F EH L T
cost,K AA S T,K AA S T
violate,V AY AH L EY T,V AY AH L EY T IH D
tire,T AY ER,T AY ER D
it,IH T,IH T
apply,AH P L AY,AH P L AY D
base,B EY S,B EY S T
have,HH AE V,HH AE D
begin,B IH G IH N,B IH G AE N
refer,R AH F ER,R AH F ER D
make,M EY K,M EY D
suppress,S AH P R EH S,S AH P R EH S T
have,HH AE V,HH AE D
possess,P AH Z EH S,P AH Z EH S T
promise,P R AA M AH S,P R AA M AH S T
leave,L IY V,L EH F T
enter,EH N T ER,EH N T ER D
waite,W EY T,W EY T IH D
it,IH T,IH T
have,HH AE V,HH AE D
marry,M EH R IY,M EH R IY D
give,G IH V,G EY V
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
have,HH AE V,HH AE D
set,S EH T,S EH T
it,IH T,IH T
rise,R AY Z,R OW Z
use,Y UW S,Y UW Z D
say,S EY,S EH D
it,IH T,IH T
move,M UW V,M UW V D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
receive,R AH S IY V,R AH S IY V D
get,G EH T,G AA T
replace,R IY P L EY S,R IY P L EY S T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
it,IH T,IH T
enter,EH N T ER,EH N T ER D
describe,D IH S K R AY B,D IH S K R AY B D
close,K L OW S,K L OW Z D
help,HH EH L P,HH EH L P T
build,B IH L D,B IH L T
locate,L OW K EY T,L OW K EY T AH D
advance,AH D V AE N S,AH D V AE N S T
marke,M AA R K,M AA R K T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
lunch,L AH N CH,L AH N CH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
envisage,EH N V IH Z IH JH,EH N V IH Z IH JH D
admit,AH D M IH T,AH D M IH T IH D
assume,AH S UW M,AH S UW M D
think,TH IH NG K,TH AO T
remain,R IH M EY N,R IH M EY N D
cry,K R AY,K R AY D
de,D IY,D IH D
it,IH T,IH T
let,L EH T,L EH T
de,D IY,D IH D
nod,N AA D,N AA D AH D
mob,M AA B,M AA B D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
make,M EY K,M EY D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
push,P UH SH,P UH SH T
it,IH T,IH T
faint,F EY N T,F EY N T IH D
promise,P R AA M AH S,P R AA M AH S T
call,K AO L,K AO L D
output,AW T P UH T,AW T P UH T
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
ice,AY S,AY S T
write,R AY T,R OW T
practise,P R AE K T IH S,P R AE K T IH S T
it,IH T,IH T
have,HH AE V,HH AE D
let,L EH T,L EH T
expose,IH K S P OW Z,IH K S P OW Z D
split,S P L IH T,S P L IH T
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
edit,EH D AH T,EH D AH T AH D
solve,S AA L V,S AA L V D
cut,K AH T,K AH T
approach,AH P R OW CH,AH P R OW CH T
fledge,F L EH JH,F L EH JH D
specify,S P EH S AH F AY,S P EH S AH F AY D
sparkle,S P AA R K AH L,S P AA R K AH L D
read,R EH D,R EH D
provide,P R AH V AY D,P R AH V AY D IH D
call,K AO L,K AO L D
leave,L IY V,L EH F T
trouble,T R AH B AH L,T R AH B AH L D
encode,EH N K OW D,EH N K OW D IH D
thread,TH R EH D,TH R EH D IH D
relate,R IH L EY T,R IH L EY T IH D
snee,S N IY,S N IY D
it,IH T,IH T
it,IH T,IH T
build,B IH L D,B IH L T
quantify,K W AA N T IH F AY,K W AA N T IH F AY D
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
ask,AE S K,AE S K T
yell,Y EH L,Y EH L D
insert,IH N S ER T,IH N S ER T AH D
have,HH AE V,HH AE D
base,B EY S,B EY S T
survive,S ER V AY V,S ER V AY V D
modify,M AA D AH F AY,M AA D AH F AY D
mind,M AY N D,M AY N D AH D
bite,B AY T,B IH T
hand,HH AE N D,HH AE N D AH D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
think,TH IH NG K,TH AO T
require,R IY K W AY ER,R IY K W AY ER D
it,IH T,IH T
quote,K W OW T,K W OW T IH D
force,F AO R S,F AO R S T
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
state,S T EY T,S T EY T IH D
step,S T EH P,S T EH P T
have,HH AE V,HH AE D
it,IH T,IH T
notice,N OW T AH S,N OW T AH S T
misguide,M IH S G AY D,M IH S G AY D IH D
desire,D IH Z AY ER,D IH Z AY ER D
have,HH AE V,HH AE D
it,IH T,IH T
propose,P R AH P OW Z,P R AH P OW Z D
de,D IY,D IH D
it,IH T,IH T
set,S EH T,S EH T
say,S EY,S EH D
express,IH K S P R EH S,IH K S P R EH S T
have,HH AE V,HH AE D
insure,IH N SH UH R,IH N SH UH R D
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
it,IH T,IH T
return,R IH T ER N,R IH T ER N D
start,S T AA R T,S T AA R T IH D
mean,M IY N,M EH N T
advise,AE D V AY Z,AE D V AY Z D
it,IH T,IH T
say,S EY,S EH D
de,D IY,D IH D
it,IH T,IH T
change,CH EY N JH,CH EY N JH D
feel,F IY L,F EH L T
switch,S W IH CH,S W IH CH T
fly,F L AY,F L UW
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
it,IH T,IH T
exclude,IH K S K L UW D,IH K S K L UW D AH D
move,M UW V,M UW V D
bite,B AY T,B IH T
it,IH T,IH T
lunge,L AH N JH,L AH N JH D
unite,Y UW N AY T,Y UW N AY T IH D
complete,K AH M P L IY T,K AH M P L IY T AH D
it,IH T,IH T
build,B IH L D,B IH L T
it,IH T,IH T
worth,W ER TH,W ER TH
it,IH T,IH T
set,S EH T,S EH T
go,G OW,W EH N T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
bite,B AY T,B IH T
limit,L IH M AH T,L IH M AH T AH D
provide,P R AH V AY D,P R AH V AY D IH D
marke,M AA R K,M AA R K T
entrap,IH N T R AE P,IH N T R AE P T
forecast,F AO R K AE S T,F AO R K AE S T
receive,R AH S IY V,R AH S IY V D
produce,P R AH D UW S,P R AH D UW S T
injure,IH N JH ER,IH N JH ER D
output,AW T P UH T,AW T P UH T
cost,K AA S T,K AA S T
elucidate,IH L UW S AH D EY T,IH L UW S AH D EY T AH D
leave,L IY V,L EH F T
it,IH T,IH T
it,IH T,IH T
sustain,S AH S T EY N,S AH S T EY N D
receive,R AH S IY V,R AH S IY V D
doe,D OW,D IH D
make,M EY K,M EY D
it,IH T,IH T
study,S T AH D IY,S T AH D IY D
make,M EY K,M EY D
send,S EH N D,S EH N T
sustain,S AH S T EY N,S AH S T EY N D
deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
analyze,AE N AH L AY Z,AE N AH L AY Z D
have,HH AE V,HH AE D
say,S EY,S EH D
prepare,P R IY P EH R,P R IY P EH R D
it,IH T,IH T
it,IH T,IH T
think,TH IH NG K,TH AO T
it,IH T,IH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
comment,K AA M EH N T,K AA M EH N T AH D
passe,P AE S EY,P AE S T
remain,R IH M EY N,R IH M EY N D
doe,D OW,D IH D
it,IH T,IH T
prescribe,P R AH S K R AY B,P R IY S K R AY B D
simplify,S IH M P L AH F AY,S IH M P L AH F AY D
involve,IH N V AA L V,IH N V AA L V D
generate,JH EH N ER EY T,JH EH N ER EY T AH D
come,K AH M,K EY M
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
derive,D ER AY V,D ER AY V D
build,B IH L D,B IH L T
ally,AE L AY,AH L AY D
make,M EY K,M EY D
call,K AO L,K AO L D
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
strike,S T R AY K,S T R AH K
walk,W AO K,W AO K T
put,P UH T,P UH T
close,K L OW S,K L OW Z D
bring,B R IH NG,B R AO T
receive,R AH S IY V,R AH S IY V D
begin,B IH G IH N,B IH G AE N
make,M EY K,M EY D
put,P UH T,P UH T
meet,M IY T,M EH T
have,HH AE V,HH AE D
it,IH T,IH T
divide,D IH V AY D,D IH V AY D IH D
use,Y UW S,Y UW Z D
patent,P AE T AH N T,P AE T AH N T IH D
make,M EY K,M EY D
develop,D IH V EH L AH P,D IH V EH L AH P T
have,HH AE V,HH AE D
put,P UH T,P UH T
observe,AH B Z ER V,AH B Z ER V D
have,HH AE V,HH AE D
gain,G EY N,G EY N D
mention,M EH N SH AH N,M EH N SH AH N D
mention,M EH N SH AH N,M EH N SH AH N D
observe,AH B Z ER V,AH B Z ER V D
measure,M EH ZH ER,M EH ZH ER D
relate,R IH L EY T,R IH L EY T IH D
de,D IY,D IH D
it,IH T,IH T
use,Y UW S,Y UW Z D
put,P UH T,P UH T
show,SH OW,SH OW D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
degenerate,D IH JH EH N ER AH T,D IH JH EH N ER EY T IH D
walk,W AO K,W AO K T
have,HH AE V,HH AE D
say,S EY,S EH D
derive,D ER AY V,D ER AY V D
say,S EY,S EH D
wee,W IY,W IY D
put,P UH T,P UH T
it,IH T,IH T
make,M EY K,M EY D
rise,R AY Z,R OW Z
have,HH AE V,HH AE D
require,R IY K W AY ER,R IY K W AY ER D
care,K EH R,K EH R D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
sum,S AH M,S AH M D
leave,L IY V,L EH F T
accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
feel,F IY L,F EH L T
drill,D R IH L,D R IH L D
say,S EY,S EH D
twist,T W IH S T,T W IH S T IH D
surprise,S ER P R AY Z,S ER P R AY Z D
swoon,S W UW N,S W UW N D
observe,AH B Z ER V,AH B Z ER V D
use,Y UW S,Y UW Z D
set,S EH T,S EH T
make,M EY K,M EY D
it,IH T,IH T
have,HH AE V,HH AE D
enlist,EH N L IH S T,EH N L IH S T IH D
produce,P R AH D UW S,P R AH D UW S T
distil,D IH S T IH L,D IH S T IH L D
de,D IY,D IH D
doe,D OW,D IH D
rescue,R EH S K Y UW,R EH S K Y UW D
have,HH AE V,HH AE D
scream,S K R IY M,S K R IY M D
say,S EY,S EH D
it,IH T,IH T
issue,IH SH UW,IH SH UW D
it,IH T,IH T
coincide,K OW IH N S AY D,K OW AH N S AY D AH D
include,IH N K L UW D,IH N K L UW D AH D
it,IH T,IH T
it,IH T,IH T
leave,L IY V,L EH F T
come,K AH M,K EY M
begin,B IH G IH N,B IH G AE N
have,HH AE V,HH AE D
have,HH AE V,HH AE D
call,K AO L,K AO L D
it,IH T,IH T
make,M EY K,M EY D
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
mate,M EY T,M EY T IH D
carry,K AE R IY,K AE R IY D
go,G OW,W EH N T
sell,S EH L,S OW L D
check,CH EH K,CH EH K T
relate,R IH L EY T,R IH L EY T IH D
certify,S ER T AH F AY,S ER T AH F AY D
have,HH AE V,HH AE D
doe,D OW,D IH D
it,IH T,IH T
make,M EY K,M EY D
have,HH AE V,HH AE D
scratch,S K R AE CH,S K R AE CH T
come,K AH M,K EY M
it,IH T,IH T
send,S EH N D,S EH N T
impeach,IH M P IY CH,IH M P IY CH T
bite,B AY T,B IH T
put,P UH T,P UH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
join,JH OY N,JH OY N D
visit,V IH Z IH T,V IH Z IH T IH D
think,TH IH NG K,TH AO T
carry,K AE R IY,K AE R IY D
have,HH AE V,HH AE D
wake,W EY K,W OW K
provide,P R AH V AY D,P R AH V AY D IH D
think,TH IH NG K,TH AO T
